Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
ATP11A	ATPIH, ATPIS, KIAA1021	ENSG00000068650	ATPase phospholipid transporting 11A	13	112690329-112887168	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA035583, HPA035584	Approved		Enhanced	Vesicles	Renal cancer:7.44e-4 (favourable)	Expressed in all	Expressed in all			lung: 59.1	Mixed		
ATP11B	ATPIF, ATPIR, KIAA0956	ENSG00000058063	ATPase phospholipid transporting 11B (putative)	3	182793500-182921635	Enzymes, Predicted membrane proteins, Transporters	Evidence at protein level	HPA036237, HPA036238	Uncertain		Approved	Microtubule organizing center<br>Cytosol	Pancreatic cancer:1.09e-4 (unfavourable), Endometrial cancer:3.44e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 58.0	Expressed in all		
ATP11C	ATPIG, ATPIQ	ENSG00000101974	ATPase phospholipid transporting 11C	X	139726346-139945276	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA030830	Approved					Expressed in all	Mixed			liver: 25.6	Mixed		
ATP12A	#945, 2, ATP1AL1, HK	ENSG00000075673	ATPase H+/K+ transporting non-gastric alpha2 subunit	13	24680411-24712493	Enzymes, Plasma proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA039526	Approved					Tissue enhanced	Tissue enhanced		esophagus: 12.7;placenta: 8.2;tonsil: 14.1	skin: 7.1	Not detected		
ATP13A1	ATP13A, CGI-152, FLJ31858, KIAA1825	ENSG00000105726	ATPase 13A1	19	19645198-19663693	Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA031798, HPA049717	Approved		Approved	Vesicles	Renal cancer:6.51e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 52.5	Expressed in all		
ATP13A2	CLN12, HSA9947, PARK9	ENSG00000159363	ATPase 13A2	1	16985958-17011928	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	CAB037038, CAB037111, HPA050910, HPA054717	Approved				Liver cancer:3.33e-7 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 74.8	Expressed in all		
ATP13A3	AFURS1	ENSG00000133657	ATPase 13A3	3	194402672-194498364	Predicted membrane proteins	Evidence at protein level	HPA029471	Approved		Approved	Nucleoli<br>Plasma membrane<br>Cytosol	Pancreatic cancer:1.60e-4 (unfavourable), Renal cancer:1.63e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 149.3	Expressed in all		
ATP13A4	DKFZp761I1011, FLJ37958	ENSG00000127249	ATPase 13A4	3	193402077-193593111	Disease related genes, Predicted membrane proteins	Evidence at protein level	HPA051932			Approved	Nucleoplasm	Head and neck cancer:3.91e-4 (favourable)	Tissue enhanced	Tissue enhanced		epididymis: 87.9;parathyroid gland: 131.5;thyroid gland: 68.5	lung: 53.7	Cell line enriched	7	SCLC-21H: 4.6
ATP13A5	FLJ16025	ENSG00000187527	ATPase 13A5	3	193274790-193378843	Predicted membrane proteins	Evidence at transcript level	HPA031771, HPA031774	Uncertain					Tissue enhanced	Tissue enhanced		breast: 17.7	salivary gland: 3.9	Cell line enhanced		SK-BR-3: 1.2
ATP1A1		ENSG00000163399	ATPase Na+/K+ transporting subunit alpha 1	1	116372668-116410261	Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters	Evidence at protein level	CAB018702, CAB069993	Enhanced				Renal cancer:8.98e-8 (favourable), Liver cancer:1.42e-4 (unfavourable), Urothelial cancer:4.01e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 2487.1	Expressed in all		
ATP1A2	FHM2, MHP2	ENSG00000018625	ATPase Na+/K+ transporting subunit alpha 2	1	160115759-160143591	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	CAB022230	Approved					Tissue enriched	Group enriched	6	cerebral cortex: 434.2;skeletal muscle: 307.0	heart muscle: 57.5	Cell line enhanced		AF22: 50.7;HHSteC: 12.3;RH-30: 16.2;U-87 MG: 10.1
ATP1A3	DYT12	ENSG00000105409	ATPase Na+/K+ transporting subunit alpha 3	19	41966582-41997497	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	CAB033630, HPA045367, HPA056446	Enhanced				Renal cancer:3.02e-6 (unfavourable), Pancreatic cancer:6.15e-5 (favourable), Ovarian cancer:3.44e-4 (unfavourable)	Group enriched	Tissue enhanced		cerebral cortex: 378.4;heart muscle: 86.0	testis: 54.5	Cell line enhanced		Daudi: 39.5;SCLC-21H: 148.3;SH-SY5Y: 57.8
ATP1A4	ATP1AL2	ENSG00000132681	ATPase Na+/K+ transporting subunit alpha 4	1	160151570-160186977	Enzymes, Predicted membrane proteins	Evidence at protein level						Urothelial cancer:2.20e-4 (favourable)	Group enriched	Tissue enhanced		placenta: 10.2;testis: 18.2;urinary bladder: 8.6	lymph node: 4.1	Group enriched	11	BEWO: 19.2;HDLM-2: 48.0;RT4: 49.0
ATP1B1	ATP1B	ENSG00000143153	ATPase Na+/K+ transporting subunit beta 1	1	169105697-169132722	Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA012911	Enhanced				Renal cancer:7.08e-7 (favourable)	Expressed in all	Expressed in all			kidney: 1337.2	Cell line enhanced		RPTEC TERT1: 355.3;SH-SY5Y: 411.9
ATP1B2	AMOG	ENSG00000129244	ATPase Na+/K+ transporting subunit beta 2	17	7646627-7657768	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA010698	Enhanced				Pancreatic cancer:1.05e-4 (favourable), Renal cancer:4.17e-4 (unfavourable)	Tissue enriched	Tissue enriched	9	cerebral cortex: 339.2	ovary: 36.7	Cell line enhanced		AF22: 9.7;HAP1: 3.1;K-562: 4.2
ATP1B3	CD298, FLJ29027	ENSG00000069849	ATPase Na+/K+ transporting subunit beta 3	3	141876124-141926514	CD markers, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	CAB020697, HPA048963	Enhanced		Supported	Plasma membrane	Liver cancer:6.32e-6 (unfavourable), Renal cancer:1.29e-5 (unfavourable), Endometrial cancer:5.19e-5 (favourable)	Expressed in all	Expressed in all			skin: 310.1	Expressed in all		
ATP1B4		ENSG00000101892	ATPase Na+/K+ transporting family member beta 4	X	120362085-120383249	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level							Not detected	Tissue enriched	9	skeletal muscle: 20.5	prostate: 2.3	Not detected		
ATP2A1	ATP2A, SERCA1	ENSG00000196296	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1	16	28878405-28904509	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB002310, CAB032706	Enhanced		Approved	Endoplasmic reticulum		Tissue enhanced	Tissue enriched	96	skeletal muscle: 2781.9	esophagus: 29.1	Mixed		
ATP2A2	ATP2B, DAR, SERCA2	ENSG00000174437	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	12	110280756-110351093	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA062605, HPA067892	Enhanced		Supported	Nucleoplasm		Expressed in all	Expressed in all			skeletal muscle: 1006.4	Expressed in all		
ATP2A3	SERCA3	ENSG00000074370	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3	17	3923870-3964464	Enzymes, Plasma proteins, Predicted membrane proteins	Evidence at protein level	HPA007180, CAB010882	Approved				Cervical cancer:4.69e-5 (favourable), Head and neck cancer:2.51e-4 (favourable)	Expressed in all	Expressed in all			lymph node: 118.4	Cell line enhanced		Daudi: 133.8;HMC-1: 234.0;MOLT-4: 202.8;SK-BR-3: 146.3
ATP2B1	PMCA1	ENSG00000070961	ATPase plasma membrane Ca2+ transporting 1	12	89588049-89709300	Enzymes, Plasma proteins, Predicted membrane proteins	Evidence at protein level	CAB005605, HPA011166, HPA012945	Enhanced		Supported	Plasma membrane	Liver cancer:7.74e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 143.6	Expressed in all		
ATP2B2	PMCA2	ENSG00000157087	ATPase plasma membrane Ca2+ transporting 2	3	10324023-10708031	Enzymes, Plasma proteins, Predicted membrane proteins, Transporters	Evidence at protein level	CAB005606	Enhanced					Tissue enhanced	Tissue enriched	7	cerebral cortex: 64.7	salivary gland: 9.7	Group enriched	7	EFO-21: 3.0;RPMI-8226: 5.4;SCLC-21H: 4.2;SH-SY5Y: 1.2
ATP2B3	CFAP39, CLA2, PMCA3, SCAX1	ENSG00000067842	ATPase plasma membrane Ca2+ transporting 3	X	153517676-153582939	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA001583	Enhanced		Uncertain	Golgi apparatus<br>Plasma membrane		Not detected	Group enriched	8	adrenal gland: 12.1;cerebral cortex: 19.0	fallopian tube: 2.0	Cell line enhanced		SCLC-21H: 11.7;SH-SY5Y: 3.1;THP-1: 1.7;U-937: 1.9
ATP2B4	ATP2B2, MXRA1, PMCA4	ENSG00000058668	ATPase plasma membrane Ca2+ transporting 4	1	203626561-203744081	Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	CAB016118, HPA040431	Enhanced		Supported	Plasma membrane	Renal cancer:1.21e-4 (unfavourable)	Expressed in all	Expressed in all			smooth muscle: 254.6	Expressed in all		
ATP2C1	ATP2C1A, BCPM, KIAA1347, PMR1, SPCA1	ENSG00000017260	ATPase secretory pathway Ca2+ transporting 1	3	130850595-131016712	Disease related genes, Enzymes, FDA approved drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	CAB010207, HPA035116, HPA069684	Supported		Enhanced	Golgi apparatus	Liver cancer:5.06e-6 (unfavourable), Pancreatic cancer:1.52e-4 (unfavourable), Renal cancer:1.55e-4 (favourable)	Expressed in all	Expressed in all			prostate: 138.3	Expressed in all		
ATP2C2	KIAA0703, SPCA2	ENSG00000064270	ATPase secretory pathway Ca2+ transporting 2	16	84368527-84464187	Enzymes, Predicted membrane proteins, Transporters	Evidence at protein level	HPA052262, HPA075812	Approved		Approved	Plasma membrane<br>Focal adhesion sites	Endometrial cancer:6.20e-6 (favourable)	Mixed	Tissue enhanced		rectum: 38.4	skin: 30.0	Cell line enhanced		MCF7: 18.7;RT4: 15.1;SK-BR-3: 24.6;T-47d: 10.4
ATP4A	ATP6A	ENSG00000105675	ATPase H+/K+ transporting alpha subunit	19	35550043-35563658	Enzymes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA039154	Enhanced					Tissue enriched	Tissue enriched	260	stomach: 557.9	pancreas: 2.1	Not detected		
ATP4B	ATP6B	ENSG00000186009	ATPase H+/K+ transporting beta subunit	13	113648804-113658186	Predicted membrane proteins, Transporters	Evidence at protein level	HPA045400, HPA052649	Enhanced					Tissue enriched	Tissue enriched	87	stomach: 953.2	fallopian tube: 10.9	Not detected		
ATP5F1		ENSG00000116459	ATP synthase, H+ transporting, mitochondrial Fo complex subunit B1	1	111448864-111462773	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA046067, HPA057347	Enhanced		Supported	Mitochondria	Renal cancer:3.26e-9 (favourable), Stomach cancer:8.07e-4 (favourable)	Expressed in all	Expressed in all			heart muscle: 50.4	Expressed in all		
ATP5G1	ATP5G	ENSG00000159199	ATP synthase, H+ transporting, mitochondrial Fo complex subunit C1 (subunit 9)	17	48892765-48895871	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level						Renal cancer:8.24e-6 (favourable), Cervical cancer:3.88e-4 (favourable)	Expressed in all	Expressed in all			heart muscle: 388.5	Expressed in all		
ATP5G2		ENSG00000135390	ATP synthase, H+ transporting, mitochondrial Fo complex subunit C2 (subunit 9)	12	53632726-53677408	Predicted intracellular proteins, Predicted membrane proteins	Evidence at transcript level	HPA051469	Approved					Expressed in all	Expressed in all			fallopian tube: 779.5	Expressed in all		
ATP5G3		ENSG00000154518	ATP synthase, H+ transporting, mitochondrial Fo complex subunit C3 (subunit 9)	2	175176258-175184607	Predicted membrane proteins	Evidence at transcript level						Renal cancer:2.31e-6 (favourable), Head and neck cancer:6.01e-4 (unfavourable), Colorectal cancer:9.90e-4 (favourable)	Expressed in all	Expressed in all			heart muscle: 534.0	Expressed in all		
ATP5J2	ATP5JL, F1Fo-ATPase	ENSG00000241468	ATP synthase, H+ transporting, mitochondrial Fo complex subunit F2	7	99448475-99466331	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA067267, HPA070412	Approved		Supported	Mitochondria	Head and neck cancer:2.58e-4 (unfavourable)	Expressed in all	Expressed in all			skeletal muscle: 463.1	Expressed in all		
ATP5L	ATP5JG	ENSG00000167283	ATP synthase, H+ transporting, mitochondrial Fo complex subunit G	11	118401154-118431496	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA044629	Approved		Supported	Mitochondria	Renal cancer:4.09e-5 (favourable)	Expressed in all	Expressed in all			heart muscle: 117.0	Expressed in all		
ATP6AP1	16A, Ac45, ATP6IP1, ATP6S1, CF2, ORF, VATPS1, XAP-3, XAP3	ENSG00000071553	ATPase H+ transporting accessory protein 1	X	154428632-154436516	Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB015218	Uncertain		Approved	Plasma membrane<br>Microtubules<br>Cytosol	Renal cancer:5.26e-8 (favourable), Breast cancer:2.40e-4 (unfavourable), Glioma:7.82e-4 (unfavourable), Pancreatic cancer:7.83e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 209.7	Expressed in all		
ATP6AP1L		ENSG00000205464	ATPase H+ transporting accessory protein 1 like	5	82279462-82386977	Predicted membrane proteins	Evidence at transcript level	HPA053771	Approved		Approved	Nucleoli<br>Cytosol		Mixed	Mixed			testis: 10.3	Cell line enhanced		MOLT-4: 14.2
ATP6AP2	APT6M8-9, ATP6IP2, ATP6M8-9, M8-9, PRR, RENR	ENSG00000182220	ATPase H+ transporting accessory protein 2	X	40579372-40606848	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA003156	Approved				Renal cancer:2.01e-5 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 893.4	Expressed in all		
ATP6V0A1	a1, ATP6N1, ATP6N1A, Stv1, Vph1, VPP1	ENSG00000033627	ATPase H+ transporting V0 subunit a1	17	42458844-42522611	Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA022144	Enhanced		Approved	Nuclear speckles<br>Golgi apparatus<br>Vesicles<br>Cytosol	Renal cancer:1.28e-4 (favourable), Pancreatic cancer:2.05e-4 (favourable), Urothelial cancer:6.90e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 200.9	Mixed		
ATP6V0A2	a2, ATP6a2, ATP6N1D, J6B7, Stv1, TJ6, TJ6M, TJ6s, Vph1	ENSG00000185344	ATPase H+ transporting V0 subunit a2	12	123712318-123761755	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA044279	Approved		Approved	Plasma membrane<br>Cytosol		Expressed in all	Expressed in all			skin: 15.1	Expressed in all		
ATP6V0A4	a4, ATP6N1B, ATP6N2, RDRTA2, RTA1C, RTADR, Stv1, Vph1, VPP2	ENSG00000105929	ATPase H+ transporting V0 subunit a4	7	138706295-138799560	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA018029, HPA064555	Enhanced		Approved	Cytosol	Renal cancer:1.32e-6 (favourable)	Tissue enriched	Group enriched	9	kidney: 69.6;salivary gland: 31.6	breast: 5.5	Cell line enriched	12	SK-BR-3: 42.2
ATP6V0B	ATP6F, HATPL, VMA16	ENSG00000117410	ATPase H+ transporting V0 subunit b	1	43974487-43978295	Predicted membrane proteins	Evidence at transcript level	HPA044281			Approved	Cytosol	Renal cancer:3.62e-6 (favourable), Pancreatic cancer:3.24e-4 (favourable), Liver cancer:4.79e-4 (unfavourable), Urothelial cancer:8.87e-4 (unfavourable)	Expressed in all	Expressed in all			bone marrow: 181.4	Expressed in all		
ATP6V0C	ATP6C, ATP6L, ATPL, VATL, Vma3	ENSG00000185883	ATPase H+ transporting V0 subunit c	16	2513870-2520218	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level						Renal cancer:1.07e-6 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 422.8	Expressed in all		
ATP6V0E1	ATP6H, ATP6V0E, M9.2	ENSG00000113732	ATPase H+ transporting V0 subunit e1	5	172983757-173035445	Predicted membrane proteins	Evidence at transcript level							Expressed in all	Expressed in all			epididymis: 772.1	Expressed in all		
ATP6V0E2	ATP6V0E2L, C7orf32	ENSG00000171130	ATPase H+ transporting V0 subunit e2	7	149872968-149880698	Predicted membrane proteins	Evidence at transcript level						Renal cancer:8.26e-7 (favourable), Pancreatic cancer:5.80e-4 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 261.0	Expressed in all		
ATP7A	MNK	ENSG00000165240	ATPase copper transporting alpha	X	77910656-78050395	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA012887, HPA048107	Approved		Supported	Golgi apparatus<br>Vesicles	Renal cancer:8.38e-4 (favourable)	Expressed in all	Mixed			parathyroid gland: 15.3	Mixed		
ATP7B	WND	ENSG00000123191	ATPase copper transporting beta	13	51930436-52012125	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA009137, HPA013187	Supported		Supported	Golgi apparatus	Endometrial cancer:5.01e-4 (unfavourable)	Mixed	Mixed			testis: 13.9	Cell line enhanced		BEWO: 31.8;HEL: 46.9;RPTEC TERT1: 22.2
ATP8A1	ATPIA	ENSG00000124406	ATPase phospholipid transporting 8A1	4	42408373-42657105	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA052935	Enhanced		Supported	Vesicles	Renal cancer:5.54e-10 (favourable)	Mixed	Tissue enhanced		parathyroid gland: 68.8;thyroid gland: 66.6	cerebral cortex: 58.2	Cell line enhanced		AN3-CA: 25.5;Daudi: 33.1
ATP8A2	ATPIB, ML-1	ENSG00000132932	ATPase phospholipid transporting 8A2	13	25372071-26025851	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA039926, HPA040033	Approved		Supported	Nucleoplasm<br>Plasma membrane		Mixed	Group enriched	6	cerebral cortex: 26.4;testis: 10.7	adrenal gland: 2.9	Cell line enhanced		HMC-1: 19.3;SCLC-21H: 3.9
ATP8B1	ATPIC, BRIC, FIC1, PFIC, PFIC1	ENSG00000081923	ATPase phospholipid transporting 8B1	18	57646426-57803101	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA018673, HPA018674	Enhanced				Colorectal cancer:2.60e-4 (favourable), Renal cancer:6.35e-4 (favourable)	Expressed in all	Expressed in all			colon: 94.6	Cell line enhanced		RT4: 171.8
ATP8B2	ATPID, KIAA1137	ENSG00000143515	ATPase phospholipid transporting 8B2	1	154325553-154351307	Enzymes, Predicted membrane proteins	Evidence at protein level	HPA046680	Approved				Urothelial cancer:5.29e-5 (unfavourable), Pancreatic cancer:1.60e-4 (favourable)	Expressed in all	Mixed			smooth muscle: 61.1	Mixed		
ATP8B3	ATPIK	ENSG00000130270	ATPase phospholipid transporting 8B3	19	1782075-1812276	Enzymes, Predicted membrane proteins	Evidence at transcript level						Renal cancer:4.80e-9 (unfavourable)	Mixed	Tissue enriched	7	testis: 28.7	bone marrow: 4.0	Cell line enhanced		Karpas-707: 16.1;U-266/70: 14.2
ATP8B4	ATPIM, KIAA1939	ENSG00000104043	ATPase phospholipid transporting 8B4 (putative)	15	49858238-50182817	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA040254	Approved		Approved	Nucleoplasm<br>Vesicles		Mixed	Tissue enhanced		bone marrow: 23.0	endometrium: 9.3	Cell line enhanced		HMC-1: 32.2;THP-1: 16.5;U-937: 60.0
ATP9A	ATPIIA, KIAA0611	ENSG00000054793	ATPase phospholipid transporting 9A (putative)	20	51596514-51768634	Enzymes, Predicted membrane proteins, Transporters	Evidence at protein level	CAB020699, HPA035630	Approved				Renal cancer:5.67e-5 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 155.8	Mixed		
ATP9B	ATPIIB	ENSG00000166377	ATPase phospholipid transporting 9B (putative)	18	79069285-79378283	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA029364	Approved					Expressed in all	Expressed in all			testis: 39.0	Expressed in all		
ATR	FRP1, MEC1, SCKL, SCKL1	ENSG00000175054	ATR serine/threonine kinase	3	142449235-142578826	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA054320			Supported	Nucleoplasm<br>Golgi apparatus	Pancreatic cancer:1.23e-5 (unfavourable), Liver cancer:8.39e-5 (unfavourable)	Expressed in all	Mixed			parathyroid gland: 15.4	Expressed in all		
ATRAID	APR3, C2orf28, HSPC013, p18	ENSG00000138085	All-trans retinoic acid induced differentiation factor	2	27212027-27217178	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA051353	Uncertain					Expressed in all	Expressed in all			epididymis: 521.0	Expressed in all		
ATRN	DPPT-L, MGCA	ENSG00000088812	Attractin	20	3471040-3651122	Plasma proteins, Predicted membrane proteins	Evidence at protein level	HPA008853	Uncertain		Approved	Cytosol	Renal cancer:2.19e-6 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 84.8	Mixed		
ATRNL1	ALP, FLJ45344, KIAA0534	ENSG00000107518	Attractin like 1	10	115093365-115948992	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA038070	Uncertain		Approved	Nucleus<br>Mitochondria		Mixed	Tissue enhanced		cerebral cortex: 33.9	testis: 22.7	Cell line enhanced		AN3-CA: 27.6;RH-30: 19.2
ATXN3	ATX3, JOS, MJD, SCA3	ENSG00000066427	Ataxin 3	14	92038652-92106621	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB021976, HPA024123, HPA069338	Uncertain		Approved	Nucleus<br>Nucleoli<br>Plasma membrane		Mixed	Mixed			testis: 18.6	Expressed in all		
AUP1		ENSG00000115307	Ancient ubiquitous protein 1	2	74526645-74529939	Predicted membrane proteins	Evidence at protein level	HPA007674	Approved		Approved	Nucleoplasm<br>Vesicles	Renal cancer:2.97e-9 (unfavourable), Liver cancer:2.29e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 58.2	Expressed in all		
AVL9	KIAA0241	ENSG00000105778	AVL9 cell migration associated	7	32495426-32588721	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA050957	Approved		Approved	Endoplasmic reticulum		Expressed in all	Expressed in all			cerebral cortex: 25.5	Mixed		
AVPR1A	AVPR1	ENSG00000166148	Arginine vasopressin receptor 1A	12	63142759-63150942	FDA approved drug targets, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins	Evidence at protein level							Mixed	Tissue enhanced		adrenal gland: 77.8	adipose tissue: 20.0	Group enriched	8	ASC diff: 3.9;Karpas-707: 9.4;U-266/84: 6.8
AVPR1B	AVPR3	ENSG00000198049	Arginine vasopressin receptor 1B	1	206109692-206117699	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters	Evidence at protein level	HPA075404	Supported					Tissue enhanced	Not detected			stomach: 0.3	Not detected		
AVPR2	DIR, DIR3, V2R	ENSG00000126895	Arginine vasopressin receptor 2	X	153902531-153907166	Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters	Evidence at protein level	HPA046678	Approved					Mixed	Tissue enhanced		adipose tissue: 5.8	kidney: 2.8	Cell line enhanced		EFO-21: 3.0;SCLC-21H: 4.6;U-266/84: 2.7;U-698: 2.8
AWAT1	DGAT2L3	ENSG00000204195	Acyl-CoA wax alcohol acyltransferase 1	X	70234655-70240627	Enzymes, Predicted membrane proteins	Evidence at protein level	HPA063412	Supported					Not detected	Not detected			breast: 0.8	Not detected		
AWAT2	DGAT2L4, MFAT	ENSG00000147160	Acyl-CoA wax alcohol acyltransferase 2	X	70040542-70049938	Enzymes, Predicted membrane proteins	Evidence at protein level	HPA062748	Approved					Tissue enriched	Tissue enhanced		breast: 2.0;skin: 1.2	testis: 0.5	Not detected		
AXL	ARK, JTK11, Tyro7, UFO	ENSG00000167601	AXL receptor tyrosine kinase	19	41219203-41261766	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins	Evidence at protein level	CAB032501, HPA037422, HPA037423	Uncertain				Renal cancer:2.53e-7 (unfavourable)	Expressed in all	Expressed in all			smooth muscle: 54.6	Mixed		
B3GALT2	beta3Gal-T2	ENSG00000162630	Beta-1,3-galactosyltransferase 2	1	193179045-193186654	Enzymes, Predicted membrane proteins	Evidence at protein level							Tissue enhanced	Tissue enhanced		cerebral cortex: 29.0;gallbladder: 26.0	heart muscle: 14.9	Group enriched	5	AF22: 19.6;ASC TERT1: 6.1;LHCN-M2: 11.4;WM-115: 23.5
B3GAT2	GlcAT-S	ENSG00000112309	Beta-1,3-glucuronyltransferase 2	6	70856679-70957038	Enzymes, Predicted membrane proteins	Evidence at protein level	HPA012059	Uncertain					Group enriched	Tissue enriched	10	cerebral cortex: 19.5	testis: 1.8	Cell line enriched	25	SCLC-21H: 25.9
B3GNT2	B3GN-T1, B3GN-T2, B3GNT-2, B3GNT1, BETA3GNT	ENSG00000170340	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	2	62196113-62224731	Enzymes, Plasma proteins, Predicted membrane proteins	Evidence at protein level	HPA005997	Approved		Approved	Vesicles	Pancreatic cancer:1.62e-4 (unfavourable)	Expressed in all	Expressed in all			lung: 51.0	Expressed in all		
B4GALNT2	Cad, GALGT2, Sda	ENSG00000167080	Beta-1,4-N-acetyl-galactosaminyltransferase 2	17	49132460-49176840	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA015721	Approved				Renal cancer:1.29e-5 (favourable)	Mixed	Tissue enhanced		colon: 33.3	rectum: 14.9	Mixed		
B4GALT1	beta4Gal-T1, GGTB2	ENSG00000086062	Beta-1,4-galactosyltransferase 1	9	33104082-33167356	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA010806, HPA010807	Enhanced		Enhanced	Golgi apparatus	Endometrial cancer:6.85e-7 (favourable), Lung cancer:1.25e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 140.5	Expressed in all		
