Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
CLDND1	C3orf4	ENSG00000080822	Claudin domain containing 1	3	98497912-98523066	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA029841	Approved		Approved	Nucleus<br>Nucleoli<br>Cytosol	Renal cancer:5.84e-6 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 399.9	Expressed in all		
CLGN		ENSG00000153132	Calmegin	4	140388455-140427968	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB020709, HPA048761, HPA058627	Enhanced		Enhanced	Endoplasmic reticulum		Tissue enhanced	Tissue enriched	5	testis: 186.4	heart muscle: 35.6	Cell line enhanced		U-251 MG: 54.9
CLN5		ENSG00000102805	Ceroid-lipofuscinosis, neuronal 5	13	76990660-77019143	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA041788	Approved				Renal cancer:1.52e-9 (favourable)	Expressed in all	Expressed in all			thyroid gland: 127.1	Expressed in all		
CLSTN3	CDHR14, CSTN3, KIAA0726	ENSG00000139182	Calsyntenin 3	12	7129698-7158945	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level						Pancreatic cancer:1.19e-5 (favourable), Renal cancer:4.49e-5 (unfavourable), Breast cancer:5.08e-4 (favourable), Urothelial cancer:8.07e-4 (favourable)	Expressed in all	Tissue enhanced		cerebral cortex: 126.6	parathyroid gland: 40.3	Mixed		
CNTFR		ENSG00000122756	Ciliary neurotrophic factor receptor	9	34551432-34590140	Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB025310	Approved					Tissue enhanced	Tissue enhanced		adipose tissue: 62.6;cerebral cortex: 53.4	spleen: 27.5	Group enriched	9	AF22: 107.8;SH-SY5Y: 55.3
CNTNAP2	Caspr2, KIAA0868, NRXN4	ENSG00000174469	Contactin associated protein-like 2	7	146116002-148420998	Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA002739	Enhanced					Tissue enhanced	Group enriched	11	cerebral cortex: 17.9;prostate: 6.0	fallopian tube: 1.0	Cell line enhanced		AF22: 7.9;CACO-2: 5.7;NTERA-2: 11.9;SCLC-21H: 28.5
CNTNAP3	CASPR3, CNTNAP3A, FLJ14195, KIAA1714	ENSG00000106714	Contactin associated protein-like 3	9	39072767-39288315	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	HPA047731	Uncertain					Mixed	Mixed			esophagus: 8.2	Cell line enhanced		A549: 17.0;AF22: 22.2;WM-115: 37.4
CNTNAP3B		ENSG00000154529	Contactin associated protein-like 3B	9	41890314-42129510	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	HPA047731	Uncertain					Not detected	Mixed			esophagus,skin: 10.4	Cell line enhanced		A549: 27.0;AF22: 41.2;WM-115: 28.0
CPM		ENSG00000135678	Carboxypeptidase M	12	68842197-68971570	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA002657, HPA077243	Uncertain		Uncertain	Vesicles	Endometrial cancer:1.00e-4 (favourable)	Expressed in all	Tissue enhanced		adipose tissue: 164.0	placenta: 101.2	Cell line enhanced		ASC diff: 48.8;ASC TERT1: 35.1;HSkMC: 66.3;SiHa: 73.7
CRB1	LCA8, RP12	ENSG00000134376	Crumbs 1, cell polarity complex component	1	197268204-197478455	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA061250, HPA063127	Approved		Uncertain	Vesicles		Tissue enriched	Group enriched	10	cerebral cortex: 12.2;testis: 5.0	ovary: 0.8	Cell line enriched	5	HeLa: 9.0
CRB2	FLJ16786, FLJ38464	ENSG00000148204	Crumbs 2, cell polarity complex component	9	123356170-123380324	Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA043674	Supported					Group enriched	Tissue enhanced		cerebral cortex: 9.4	kidney: 2.0	Cell line enriched	7	AF22: 32.2
CRELD1	AVSD2	ENSG00000163703	Cysteine rich with EGF like domains 1	3	9933822-9945413	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA026964	Uncertain		Approved	Nucleoli<br>Cytosol	Glioma:6.05e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 65.6	Expressed in all		
CRHR1	CRF-R, CRF1, CRHR	ENSG00000120088	Corticotropin releasing hormone receptor 1	17	45784280-45835828	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	CAB025251	Approved					Mixed	Tissue enhanced		cerebral cortex: 4.0	endometrium: 0.8	Cell line enhanced		RT4: 2.7;SH-SY5Y: 2.2
CRHR2	CRF-RB, CRF2, HM-CRF	ENSG00000106113	Corticotropin releasing hormone receptor 2	7	30651943-30700129	G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA046683	Uncertain					Not detected	Tissue enhanced		seminal vesicle: 1.7	cerebral cortex: 1.2	Not detected		
CSF1	M-CSF, MCSF, MGC31930	ENSG00000184371	Colony stimulating factor 1	1	109910242-109930992	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level						Renal cancer:1.00e-11 (unfavourable), Liver cancer:4.25e-5 (unfavourable)	Expressed in all	Expressed in all			adipose tissue: 66.6	Cell line enhanced		ASC diff: 146.1;HHSteC: 271.2;HSkMC: 150.5
CSF1R	C-FMS, CD115, CSFR, FMS	ENSG00000182578	Colony stimulating factor 1 receptor	5	150053291-150113372	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB008970, HPA012323	Uncertain		Supported	Vesicles<br>Plasma membrane	Renal cancer:1.08e-4 (unfavourable), Testis cancer:4.92e-4 (unfavourable)	Expressed in all	Mixed			spleen: 147.7	Group enriched	6	BEWO: 118.6;SK-BR-3: 35.4
CSF2RA	CD116, CSF2R	ENSG00000198223	Colony stimulating factor 2 receptor alpha subunit	X	1268800-1310381	Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB016148	Uncertain				Cervical cancer:2.38e-5 (favourable), Head and neck cancer:2.81e-4 (favourable), Testis cancer:5.53e-4 (unfavourable)	Expressed in all	Tissue enhanced		placenta: 93.3	appendix: 34.6	Group enriched	8	BEWO: 187.1;HMC-1: 51.2;SK-MEL-30: 109.5
CTD-2370N5.3		ENSG00000265118		17	31305213-31318831	Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	HPA045033	Uncertain					Not detected	Tissue enhanced		appendix: 5.1	tonsil: 3.0	Cell line enhanced		MOLT-4: 5.4;RPMI-8226: 3.7
CTLA4	CD, CD152, CELIAC3, GSE, IDDM12	ENSG00000163599	Cytotoxic T-lymphocyte associated protein 4	2	203867786-203873960	CD markers, Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level						Head and neck cancer:4.48e-5 (favourable)	Mixed	Tissue enhanced		appendix: 23.5;lymph node: 31.9	tonsil: 15.3	Group enriched	5	SK-MEL-30: 2.4;U-266/70: 3.5;U-266/84: 9.7
CTNS	CTNS-LSB, PQLC4	ENSG00000040531	Cystinosin, lysosomal cystine transporter	17	3636468-3661542	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA046947			Supported	Vesicles<br>Intermediate filaments	Pancreatic cancer:6.39e-5 (favourable), Head and neck cancer:7.33e-4 (favourable)	Expressed in all	Expressed in all			testis: 42.6	Expressed in all		
CTSK	CTSO, CTSO2, PKND, PYCD	ENSG00000143387	Cathepsin K	1	150796208-150808323	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA050346			Supported	Vesicles	Renal cancer:7.12e-5 (unfavourable)	Expressed in all	Expressed in all			cervix, uterine: 575.0	Group enriched	6	ASC diff: 1592.3;ASC TERT1: 590.6;BJ hTERT+: 1576.7
CX3CL1	ABCD-3, C3Xkine, CXC3, CXC3C, fractalkine, neurotactin, NTN, SCYD1	ENSG00000006210	C-X3-C motif chemokine ligand 1	16	57372458-57385048	Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB026192, HPA040361	Approved		Supported	Plasma membrane	Renal cancer:8.52e-7 (favourable), Cervical cancer:9.46e-4 (favourable)	Expressed in all	Tissue enhanced		cerebral cortex: 100.1	lung: 69.3	Cell line enhanced		EFO-21: 28.0;HDLM-2: 78.9;Hep G2: 42.9;RPTEC TERT1: 27.3
CXADR	CAR	ENSG00000154639	Coxsackie virus and adenovirus receptor	21	17512382-17593579	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA003342, CAB005103, HPA030411, HPA030412	Enhanced		Enhanced	Plasma membrane<br>Cell Junctions	Head and neck cancer:3.50e-4 (favourable)	Expressed in all	Mixed			skin: 59.1	Cell line enhanced		CACO-2: 77.2;NTERA-2: 105.2;RT4: 82.7
CYHR1	CHRP, KIAA0496, MGC13010	ENSG00000187954	Cysteine and histidine rich 1	8	144449582-144465677	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA053653, HPA059543	Approved		Enhanced	Nucleoplasm	Colorectal cancer:1.05e-4 (unfavourable), Liver cancer:3.90e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 51.4	Expressed in all		
CYP20A1	CYP-M	ENSG00000119004	Cytochrome P450 family 20 subfamily A member 1	2	203238940-203305611	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA055872, HPA058461	Uncertain		Approved	Plasma membrane<br>Cell Junctions<br>Actin filaments		Expressed in all	Mixed			thyroid gland: 16.4	Mixed		
CYP2S1		ENSG00000167600	Cytochrome P450 family 2 subfamily S member 1	19	41193049-41207539	Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA049227, HPA069248	Approved		Approved	Endoplasmic reticulum	Renal cancer:1.60e-6 (unfavourable)	Expressed in all	Tissue enhanced		duodenum: 96.7;small intestine: 68.6;stomach: 111.7	colon: 25.9	Cell line enhanced		A549: 83.4;CACO-2: 39.6;HaCaT: 43.5;NTERA-2: 68.5
CYP4F2		ENSG00000186115	Cytochrome P450 family 4 subfamily F member 2	19	15878023-15898120	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA014048, HPA017265, HPA058960	Supported					Tissue enriched	Group enriched	6	duodenum: 78.2;epididymis: 28.0;kidney: 39.3;liver: 84.6;small intestine: 84.3	prostate: 10.4	Cell line enhanced		Hep G2: 2.5
DAG1	156DAG, A3a, AGRNR, DAG	ENSG00000173402	Dystroglycan 1	3	49468703-49535618	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB001960, CAB016353	Enhanced		Supported	Vesicles	Renal cancer:2.59e-4 (favourable)	Expressed in all	Expressed in all			placenta: 109.3	Expressed in all		
DDOST	KIAA0115, OST, OST48, WBP1	ENSG00000244038	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit	1	20651767-20661544	Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB009746, HPA046841, HPA052867	Supported		Supported	Endoplasmic reticulum	Renal cancer:9.05e-7 (unfavourable), Liver cancer:2.64e-5 (unfavourable), Head and neck cancer:4.88e-4 (unfavourable), Endometrial cancer:5.99e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 308.3	Expressed in all		
DDR1	CAK, CD167, EDDR1, NEP, NTRK4, PTK3A, RTK6	ENSG00000204580	Discoidin domain receptor tyrosine kinase 1	6	30876421-30900156	CD markers, Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB010162, CAB025656, HPA057194	Approved		Approved	Nucleoplasm<br>Cell Junctions	Renal cancer:3.31e-10 (favourable)	Expressed in all	Mixed			cerebral cortex: 51.6	Cell line enhanced		HaCaT: 80.3;RT4: 74.6;T-47d: 96.8
DDR2	NTRKR3, TKT, TYRO10	ENSG00000162733	Discoidin domain receptor tyrosine kinase 2	1	162631373-162787400	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA070112			Supported	Plasma membrane<br>Actin filaments	Renal cancer:1.73e-7 (unfavourable)	Expressed in all	Mixed			adrenal gland: 93.5	Cell line enhanced		ASC diff: 203.0;ASC TERT1: 203.2;BJ hTERT+: 181.9
DHRS9	3alpha-HSD, RDH15, RDHL, RETSDR8, SDR9C4	ENSG00000073737	Dehydrogenase/reductase 9	2	169064789-169096167	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA036491, HPA036667	Approved				Pancreatic cancer:2.73e-4 (unfavourable)	Tissue enhanced	Tissue enhanced		colon: 66.5;rectum: 48.1	esophagus: 30.1	Cell line enhanced		NB-4: 21.6;THP-1: 66.4;TIME: 35.4;U-2197: 29.3
DIO2	SelY, TXDI2	ENSG00000211448	Iodothyronine deiodinase 2	14	80197527-80387757	Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA029544, HPA048002			Supported	Nucleoplasm<br>Cytosol	Endometrial cancer:4.62e-6 (favourable), Colorectal cancer:1.67e-4 (favourable)	Tissue enhanced	Group enriched	6	cervix, uterine: 269.4;thyroid gland: 601.2	esophagus: 70.3	Cell line enhanced		BJ: 70.1;HeLa: 63.5;SiHa: 184.0
DLK1	Delta1, FA1, pG2, Pref-1, ZOG	ENSG00000185559	Delta like non-canonical Notch ligand 1	14	100725705-100738224	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB005872, HPA053879, HPA062262	Supported		Approved	Golgi apparatus	Endometrial cancer:2.31e-4 (unfavourable)	Tissue enhanced	Group enriched	20	adrenal gland: 1591.0;placenta: 2331.6	ovary: 100.3	Group enriched	6	AF22: 118.4;Hep G2: 282.9;SH-SY5Y: 501.8
DLL1		ENSG00000198719	Delta like canonical Notch ligand 1	6	170282206-170306565	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA078298			Uncertain	Nucleoplasm		Expressed in all	Mixed			spleen: 20.0	Cell line enhanced		HaCaT: 7.0;HBEC3-KT: 8.8;NB-4: 13.1;THP-1: 11.4
DLL3	SCDO1	ENSG00000090932	Delta like canonical Notch ligand 3	19	39498895-39508481	Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA056533			Approved	Nucleoplasm<br>Cytosol	Endometrial cancer:2.94e-4 (unfavourable)	Group enriched	Tissue enriched	49	cerebral cortex: 51.3	testis: 1.0	Group enriched	6	SCLC-21H: 16.1;SH-SY5Y: 14.9;SK-MEL-30: 62.1
DPEP2		ENSG00000167261	Dipeptidase 2	16	67987394-68000586	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA035644	Approved				Testis cancer:8.47e-4 (unfavourable)	Mixed	Tissue enhanced		spleen: 38.7	lung: 27.9	Cell line enhanced		HEL: 3.7;HMC-1: 16.1;U-937: 4.9
DSE	DSEPI, SART2	ENSG00000111817	Dermatan sulfate epimerase	6	116254173-116444860	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA014764, HPA052151	Uncertain		Supported	Nucleoplasm<br>Cytosol	Renal cancer:1.50e-4 (unfavourable), Cervical cancer:3.36e-4 (unfavourable), Ovarian cancer:6.34e-4 (unfavourable)	Mixed	Mixed			appendix: 36.2	Mixed		
DSG2	CDHF5	ENSG00000046604	Desmoglein 2	18	31498043-31549008	Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA004896, CAB025122	Enhanced		Enhanced	Plasma membrane<br>Cell Junctions	Renal cancer:3.14e-10 (favourable), Pancreatic cancer:4.94e-5 (unfavourable), Lung cancer:2.43e-4 (unfavourable), Head and neck cancer:5.63e-4 (unfavourable), Colorectal cancer:7.81e-4 (favourable), Cervical cancer:8.22e-4 (unfavourable)	Expressed in all	Tissue enhanced		parathyroid gland: 251.3	rectum: 106.9	Cell line enhanced		HaCaT: 233.0;hTERT-HME1: 159.3
DUOX1	LNOX1, NOXEF1, THOX1	ENSG00000137857	Dual oxidase 1	15	45129933-45165576	Enzymes, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA023544	Approved				Cervical cancer:4.31e-6 (favourable)	Tissue enhanced	Tissue enhanced		skin: 96.9;thyroid gland: 92.6	esophagus: 73.2	Cell line enhanced		HaCaT: 56.9;hTCEpi: 22.1;RT4: 29.0
E2F5		ENSG00000133740	E2F transcription factor 5	8	85177225-85217158	Cancer-related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transcription factors	Evidence at protein level	HPA055723			Supported	Nucleus<br>Nucleoli	Renal cancer:1.89e-6 (unfavourable)	Expressed in all	Mixed			lymph node: 30.9	Cell line enhanced		AF22: 76.4;Daudi: 112.8
EDNRB	ETB, HSCR, HSCR2	ENSG00000136160	Endothelin receptor type B	13	77895481-77919768	Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB017842, HPA027546	Approved		Supported	Plasma membrane<br>Cytosol	Renal cancer:7.20e-5 (favourable)	Group enriched	Tissue enhanced		placenta: 180.2	cerebral cortex: 88.8	Cell line enhanced		AF22: 59.4;ASC diff: 35.4;SK-MEL-30: 42.0;U-266/70: 29.1;WM-115: 122.9
EFNA4	EPLG4, LERK4	ENSG00000243364	Ephrin A4	1	155063731-155069553	Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB021350, HPA064952	Approved		Uncertain	Nucleus<br>Vesicles	Liver cancer:1.00e-5 (unfavourable), Stomach cancer:3.60e-5 (favourable), Renal cancer:3.14e-4 (unfavourable)	Expressed in all	Mixed			skin: 24.5	Expressed in all		
EGFR	ERBB, ERBB1	ENSG00000146648	Epidermal growth factor receptor	7	55019021-55211628	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB000035, HPA001200, HPA018530, CAB068186, CAB073534	Enhanced		Enhanced	Plasma membrane	Urothelial cancer:2.04e-5 (unfavourable)	Expressed in all	Tissue enhanced		placenta: 100.0	skin: 58.7	Cell line enriched	15	A-431: 4682.9
EMC1	KIAA0090	ENSG00000127463	ER membrane protein complex subunit 1	1	19215664-19251552	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA048904	Approved		Approved	Microtubules<br>Cytokinetic bridge	Liver cancer:8.56e-6 (unfavourable), Urothelial cancer:1.43e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 34.4	Expressed in all		
EMC10	C19orf63, HSM1, HSS1, INM02	ENSG00000161671	ER membrane protein complex subunit 10	19	50476400-50490870	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA053905	Uncertain				Renal cancer:6.64e-6 (favourable), Pancreatic cancer:4.39e-4 (favourable)	Expressed in all	Expressed in all			skeletal muscle: 63.8	Cell line enhanced		HEK93: 176.7
EMCN	MUC14	ENSG00000164035	Endomucin	4	100395341-100880126	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA005928	Approved				Liver cancer:1.03e-4 (favourable), Renal cancer:2.25e-4 (favourable)	Expressed in all	Mixed			kidney: 83.7	Cell line enriched	6	HUVEC TERT2: 25.7
ENTPD8	NTPDase-8, UNQ2492	ENSG00000188833	Ectonucleoside triphosphate diphosphohydrolase 8	9	137434364-137441816	Enzymes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA021509	Enhanced		Approved	Nucleoplasm<br>Vesicles<br>Cytosol	Stomach cancer:7.17e-4 (favourable)	Mixed	Tissue enhanced		colon: 21.7;duodenum: 28.7;small intestine: 31.6	rectum: 12.5	Cell line enhanced		CAPAN-2: 4.8;RPMI-8226: 3.7;T-47d: 2.7
EOGT	AER61, C3orf64, FLJ33770	ENSG00000163378	EGF domain specific O-linked N-acetylglucosamine transferase	3	68975214-69013961	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA019460	Approved		Approved	Nucleoplasm<br>Nuclear membrane<br>Cytosol	Renal cancer:8.97e-5 (unfavourable)	Expressed in all	Expressed in all			seminal vesicle: 50.3	Mixed		
EPCAM	17-1A, 323/A3, CD326, CO-17A, EGP-2, EGP34, EGP40, Ep-CAM, ESA, GA733-2, HEA125, KS1/4, KSA, Ly74, M4S1, MH99, MIC18, MK-1, MOC31, TACST-1, TACSTD1, TROP1	ENSG00000119888	Epithelial cell adhesion molecule	2	47345158-47387601	Cancer-related genes, CD markers, Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB003809, HPA026761, CAB030012, CAB055098, HPA067463	Enhanced		Supported	Plasma membrane	Renal cancer:1.04e-6 (favourable), Ovarian cancer:3.30e-4 (favourable)	Mixed	Tissue enhanced		rectum: 680.5;small intestine: 714.7	colon: 659.9	Cell line enhanced		A-431: 382.2;CACO-2: 461.4;CAPAN-2: 680.1;SCLC-21H: 345.3
EPGN	ALGV3072, EPG, epigen, PRO9904	ENSG00000182585	Epithelial mitogen	4	74308473-74315307	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA014369			Approved	Nucleus<br>Nuclear membrane<br>Cytosol	Urothelial cancer:2.40e-4 (unfavourable)	Tissue enhanced	Tissue enriched	12	esophagus: 63.6	seminal vesicle: 5.4	Group enriched	7	hTCEpi: 132.6;U-2197: 76.6
EPHA10	FLJ16103, FLJ33655	ENSG00000183317	EPH receptor A10	1	37713880-37765133	Enzymes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA027497	Uncertain					Mixed	Tissue enhanced		testis: 20.4	colon: 7.9	Cell line enhanced		BEWO: 4.7;HDLM-2: 18.1;SCLC-21H: 10.2
EPHA3	ETK, ETK1, HEK, HEK4, TYRO4	ENSG00000044524	EPH receptor A3	3	89107524-89482134	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB010462	Approved		Uncertain	Nucleoplasm<br>Golgi apparatus<br>Cytosol	Renal cancer:3.28e-7 (unfavourable)	Mixed	Tissue enhanced		prostate: 51.9	gallbladder: 29.8	Cell line enriched	7	AF22: 192.5
EPHA4	Hek8, TYRO1	ENSG00000116106	EPH receptor A4	2	221418027-221574202	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB028368	Enhanced				Renal cancer:5.67e-4 (favourable), Ovarian cancer:9.56e-4 (unfavourable)	Mixed	Tissue enhanced		cerebral cortex: 41.6	testis: 22.2	Cell line enhanced		AF22: 77.5;CACO-2: 49.0;U-2197: 35.7
EPHA7	Hek11	ENSG00000135333	EPH receptor A7	6	93240020-93419547	Cancer-related genes, Enzymes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB010496	Approved					Tissue enhanced	Tissue enriched	13	parathyroid gland: 253.5	prostate: 20.2	Cell line enhanced		AF22: 15.6;HEK93: 41.9;RH-30: 41.8;THP-1: 25.7
EPHA8	EEK, Hek3	ENSG00000070886	EPH receptor A8	1	22563564-22603594	Cancer-related genes, Enzymes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB009660, HPA031433	Uncertain					Mixed	Tissue enhanced		adrenal gland: 4.7;spleen: 2.6;testis: 1.9	cerebral cortex: 1.3	Cell line enriched	14	SCLC-21H: 70.4
EPHB2	DRT, EPHT3, ERK, Hek5, Tyro5	ENSG00000133216	EPH receptor B2	1	22710839-22921500	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB013647, HPA071200	Approved		Supported	Nucleus<br>Plasma membrane	Endometrial cancer:1.05e-5 (unfavourable), Colorectal cancer:4.98e-4 (favourable)	Tissue enhanced	Mixed			rectum: 27.3	Cell line enhanced		HUVEC TERT2: 71.2;TIME: 69.5
EPHB4	HTK, Tyro11	ENSG00000196411	EPH receptor B4	7	100802565-100827521	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB013537	Uncertain				Colorectal cancer:4.33e-4 (unfavourable), Breast cancer:8.56e-4 (unfavourable), Urothelial cancer:8.84e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 50.6	Mixed		
EQTN	AFAF, C9orf11, equatorin, SPACA8	ENSG00000120160	Equatorin	9	27284659-27297139	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA015089, HPA015504	Enhanced					Not detected	Tissue enriched	94	testis: 67.7	ovary: 0.7	Not detected		
ERBB3	HER3, LCCS2	ENSG00000065361	Erb-b2 receptor tyrosine kinase 3	12	56079857-56103505	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB025331, HPA045396	Uncertain		Approved	Plasma membrane<br>Actin filaments		Expressed in all	Mixed			small intestine: 86.8	Cell line enhanced		Hep G2: 79.5;SK-BR-3: 77.6;SK-MEL-30: 109.7;T-47d: 108.2;WM-115: 145.7
ERN1	IRE1, IRE1P	ENSG00000178607	Endoplasmic reticulum to nucleus signaling 1	17	64039142-64130819	Enzymes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB009495, HPA027730	Supported				Renal cancer:1.68e-4 (unfavourable)	Expressed in all	Expressed in all			adrenal gland: 53.4	Cell line enhanced		Karpas-707: 74.5;U-266/70: 74.0
ERN2	IRE1b	ENSG00000134398	Endoplasmic reticulum to nucleus signaling 2	16	23690326-23713500	Enzymes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA016558	Uncertain					Mixed	Group enriched	7	cervix, uterine: 27.6;colon: 27.5;duodenum: 12.3;gallbladder: 25.1;rectum: 23.2;small intestine: 9.9;stomach: 49.1	appendix: 3.8	Cell line enriched	8	CAPAN-2: 5.9
