Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
EEF2	EEF-2, EF2	ENSG00000167658	Eukaryotic translation elongation factor 2	19	3976056-3985469	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB007795, HPA040534, HPA057351	Enhanced		Enhanced	Plasma membrane<br>Cytosol	Endometrial cancer:1.81e-6 (favourable), Renal cancer:1.25e-5 (favourable)	Expressed in all	Expressed in all			ovary: 1621.6	Expressed in all		
EEF2K	eEF-2K	ENSG00000103319	Eukaryotic elongation factor 2 kinase	16	22206282-22288732	Enzymes, Predicted intracellular proteins	Evidence at protein level	CAB007818, HPA056061	Approved		Approved	Nucleoplasm	Renal cancer:2.38e-4 (unfavourable)	Expressed in all	Expressed in all			skin: 54.3	Expressed in all		
EEF2KMT	EFM3, FAM86A, MGC19636, SB153	ENSG00000118894	Eukaryotic elongation factor 2 lysine methyltransferase	16	5084304-5097808	Predicted intracellular proteins	Evidence at protein level	HPA041610	Approved		Uncertain	Vesicles	Urothelial cancer:2.35e-4 (unfavourable), Liver cancer:8.85e-4 (unfavourable)	Expressed in all	Mixed			parathyroid gland: 11.3	Expressed in all		
EEFSEC	eEFSec, EFSEC, SELB	ENSG00000132394	Eukaryotic elongation factor, selenocysteine-tRNA specific	3	128153454-128408646	Predicted intracellular proteins	Evidence at protein level	HPA035795	Approved		Approved	Nucleus<br>Nuclear bodies<br>Cytosol	Cervical cancer:2.98e-5 (favourable)	Expressed in all	Expressed in all			testis: 18.8	Expressed in all		
EEPD1	KIAA1706	ENSG00000122547	Endonuclease/exonuclease/phosphatase family domain containing 1	7	36153149-36301543	Predicted intracellular proteins	Evidence at protein level	HPA053668			Approved	Nuclear speckles<br>Vesicles<br>Plasma membrane		Expressed in all	Expressed in all			cerebral cortex: 27.1	Cell line enhanced		HDLM-2: 16.9;PC-3: 20.8
EFCAB1	FLJ11767	ENSG00000034239	EF-hand calcium binding domain 1	8	48710789-48735311	Predicted intracellular proteins	Evidence at protein level	HPA023527, HPA069955	Enhanced		Approved	Nucleoplasm<br>Plasma membrane		Tissue enhanced	Tissue enhanced		fallopian tube: 149.8;testis: 47.1	ovary: 23.9	Cell line enhanced		A-431: 5.8;ASC TERT1: 4.4;CAPAN-2: 2.8;SCLC-21H: 5.8
EFCAB10		ENSG00000185055	EF-hand calcium binding domain 10	7	105565120-105600875	Predicted intracellular proteins	Evidence at transcript level	HPA019751	Uncertain					Mixed	Group enriched	10	fallopian tube: 44.0;testis: 39.9	lung: 4.3	Mixed		
EFCAB11	C14orf143	ENSG00000140025	EF-hand calcium binding domain 11	14	89794669-89954777	Predicted intracellular proteins	Evidence at transcript level	HPA051209			Approved	Cell Junctions<br>Cytosol		Expressed in all	Tissue enhanced		testis: 60.1	fallopian tube: 17.2	Expressed in all		
EFCAB12	C3orf25	ENSG00000172771	EF-hand calcium binding domain 12	3	129401321-129428651	Predicted intracellular proteins	Evidence at protein level	HPA037694	Uncertain	Supported				Mixed	Group enriched	5	fallopian tube: 31.3;testis: 6.7	prostate: 3.7	Cell line enhanced		Hep G2: 1.0;SCLC-21H: 1.0
EFCAB13	C17orf57, FLJ40342	ENSG00000178852	EF-hand calcium binding domain 13	17	47323290-47441312	Predicted intracellular proteins	Evidence at protein level	CAB002501, HPA021633, HPA023249, HPA026561	Uncertain		Supported	Nucleus<br>Nuclear speckles<br>Cytosol		Mixed	Tissue enhanced		testis: 37.3	thyroid gland: 23.6	Mixed		
EFCAB2	CFAP200, DRC8, MGC12458	ENSG00000203666	EF-hand calcium binding domain 2	1	244969705-245127164	Predicted intracellular proteins	Evidence at protein level	HPA031206, HPA031207	Approved		Approved	Plasma membrane<br>Cytosol	Thyroid cancer:6.51e-4 (unfavourable)	Mixed	Expressed in all			fallopian tube: 57.7	Expressed in all		
EFCAB3	FLJ25818	ENSG00000172421	EF-hand calcium binding domain 3	17	62343941-62416479	Predicted intracellular proteins	Evidence at protein level	HPA046862	Uncertain					Not detected	Tissue enriched	24	testis: 10.5	adipose tissue: 0.4	Not detected		
EFCAB5	FLJ46247	ENSG00000176927	EF-hand calcium binding domain 5	17	29929200-30108452	Predicted intracellular proteins	Evidence at protein level							Not detected	Tissue enriched	12	testis: 15.2	rectum: 1.2	Cell line enhanced		RPTEC TERT1: 2.2
EFCAB6	dJ185D5.1, DJBP, FLJ23588, HSCBCIP1, KIAA1672	ENSG00000186976	EF-hand calcium binding domain 6	22	43528744-43812337	Predicted intracellular proteins	Evidence at protein level	HPA003098			Uncertain	Nucleoplasm		Mixed	Group enriched	5	fallopian tube: 12.3;testis: 44.2	thyroid gland: 5.1	Mixed		
EFCAB7	KIAA1799, RP4-534K7.1	ENSG00000203965	EF-hand calcium binding domain 7	1	63523372-63572693	Predicted intracellular proteins	Evidence at protein level	HPA029611, HPA029612, HPA029613	Enhanced		Approved	Nucleus<br>Nucleoli<br>Plasma membrane<br>Cytosol	Glioma:4.84e-4 (favourable)	Mixed	Mixed			testis: 24.7	Expressed in all		
EFCAB8		ENSG00000215529	EF-hand calcium binding domain 8	20	32858923-32961609	Predicted intracellular proteins	Evidence at transcript level	CAB034246, HPA042751	Uncertain					Not detected	Tissue enriched	6	testis: 2.8	appendix,small intestine,thyroid gland: 0.4	Not detected		
EFCAB9		ENSG00000214360	EF-hand calcium binding domain 9	5	172194172-172203452	Predicted intracellular proteins	Evidence at transcript level							Not detected	Tissue enriched	97	testis: 15.7	appendix,gallbladder: 0.1	Cell line enhanced		WM-115: 1.5
EFCC1	C3orf73, CCDC48, FLJ12057	ENSG00000114654	EF-hand and coiled-coil domain containing 1	3	129001629-129040742	Predicted intracellular proteins	Evidence at transcript level	HPA042798, HPA050888	Uncertain				Pancreatic cancer:9.70e-4 (favourable)	Mixed	Tissue enhanced		lung: 4.9	spleen: 3.6	Cell line enhanced		AF22: 1.3;HL-60: 3.0
EFHB	CFAP21, FLJ25200	ENSG00000163576	EF-hand domain family member B	3	19879472-19947025	Predicted intracellular proteins	Evidence at protein level	HPA078067			Approved	Nucleoli		Mixed	Group enriched	6	fallopian tube: 25.5;testis: 25.8	cerebral cortex: 4.3	Cell line enriched	30	RPTEC TERT1: 14.9
EFHC1	EJM, EJM1, FLJ10466	ENSG00000096093	EF-hand domain containing 1	6	52362123-52529886	Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA035307	Approved		Uncertain	Plasma membrane<br>Cytosol	Pancreatic cancer:2.33e-4 (favourable), Renal cancer:3.29e-4 (unfavourable)	Expressed in all	Tissue enhanced		fallopian tube: 55.6	testis: 31.3	Cell line enhanced		SCLC-21H: 22.6
EFHC2	FLJ22843, MRX74	ENSG00000183690	EF-hand domain containing 2	X	44147882-44343672	Predicted intracellular proteins	Evidence at protein level	HPA034492	Uncertain	Supported				Mixed	Tissue enhanced		fallopian tube: 25.8;testis: 15.4	endometrium: 6.8	Group enriched	5	CAPAN-2: 3.8;HEL: 4.2;HMC-1: 13.1
EFHD1	FLJ13612	ENSG00000115468	EF-hand domain family member D1	2	232606057-232682781	Predicted intracellular proteins	Evidence at protein level	HPA049331, HPA056959	Enhanced		Supported	Nucleoli fibrillar center<br>Golgi apparatus	Renal cancer:2.93e-7 (favourable)	Expressed in all	Tissue enhanced		breast: 227.6	kidney: 177.3	Group enriched	7	BEWO: 121.1;RPTEC TERT1: 51.3;SK-BR-3: 225.6;T-47d: 222.0
EFHD2	MGC4342	ENSG00000142634	EF-hand domain family member D2	1	15409895-15430343	Predicted intracellular proteins	Evidence at protein level	HPA048961	Enhanced		Approved	Cytosol	Renal cancer:6.31e-9 (unfavourable), Urothelial cancer:3.60e-5 (favourable), Thyroid cancer:2.70e-4 (favourable), Lung cancer:5.57e-4 (unfavourable)	Expressed in all	Expressed in all			spleen: 111.1	Expressed in all		
EFL1	EFTUD1, FAM42A, FLJ13119, HsT19294, RIA1	ENSG00000140598	Elongation factor like GTPase 1	15	82130230-82262763	Predicted intracellular proteins	Evidence at protein level	HPA039654, HPA047110, HPA052345	Uncertain		Approved	Cytosol	Renal cancer:1.50e-6 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 23.4	Expressed in all		
EFR3A	KIAA0143	ENSG00000132294	EFR3 homolog A	8	131904088-132013642	Predicted intracellular proteins	Evidence at protein level	HPA022859, HPA023092, HPA023402	Enhanced		Supported	Plasma membrane<br>Cytosol		Expressed in all	Expressed in all			cerebral cortex: 70.4	Expressed in all		
EFR3B	FLJ37871, KIAA0953	ENSG00000084710	EFR3 homolog B	2	25042130-25159137	Predicted intracellular proteins	Evidence at protein level	HPA038089	Uncertain					Mixed	Tissue enhanced		cerebral cortex: 33.2	skeletal muscle: 6.8	Cell line enhanced		BEWO: 11.6;SH-SY5Y: 11.3;SK-BR-3: 13.6
EFS	CASS3, EFS1, EFS2, HEFS, SIN	ENSG00000100842	Embryonal Fyn-associated substrate	14	23356402-23365752	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA001581, HPA001790	Approved		Uncertain	Nucleoplasm<br>Cytosol	Renal cancer:4.09e-5 (unfavourable)	Mixed	Mixed			skin: 59.4	Cell line enhanced		AF22: 61.4;BEWO: 50.1;SH-SY5Y: 62.8
EFTUD2	SNRNP116, Snrp116, Snu114, U5-116KD	ENSG00000108883	Elongation factor Tu GTP binding domain containing 2	17	44849943-44899662	Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA022021	Supported		Supported	Nucleoplasm<br>Cytosol	Liver cancer:2.71e-6 (unfavourable)	Expressed in all	Expressed in all			testis: 47.7	Expressed in all		
EGLN1	C1orf12, HIFPH2, PHD2, SM-20, ZMYND6	ENSG00000135766	Egl-9 family hypoxia inducible factor 1	1	231363751-231425044	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA022129	Approved		Approved	Cytosol	Cervical cancer:2.99e-7 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 29.9	Expressed in all		
EGLN2	HIFPH1, PHD1	ENSG00000269858	Egl-9 family hypoxia inducible factor 2	19	40798996-40808433	Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA056649			Supported	Nucleoplasm	Cervical cancer:2.88e-4 (favourable), Pancreatic cancer:4.81e-4 (favourable)	Expressed in all	Expressed in all			testis: 205.1	Expressed in all		
EGLN3	HIFPH3, PHD3	ENSG00000129521	Egl-9 family hypoxia inducible factor 3	14	33924231-34462774	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA064895			Approved	Cytosol	Liver cancer:2.14e-5 (unfavourable), Renal cancer:2.50e-4 (unfavourable)	Expressed in all	Tissue enhanced		skin: 98.0	heart muscle: 62.0	Cell line enhanced		RH-30: 43.2;RT4: 97.7
EGR1	AT225, G0S30, KROX-24, NGFI-A, TIS8, ZIF-268, ZNF225	ENSG00000120738	Early growth response 1	5	138465490-138469315	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB019427, HPA029937, HPA029938	Enhanced		Enhanced	Nucleoplasm		Expressed in all	Expressed in all			ovary: 1188.8	Cell line enhanced		hTCEpi: 208.0;U-266/84: 325.4
EGR2	KROX20	ENSG00000122877	Early growth response 2	10	62811996-62919900	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA031165			Supported	Nucleoplasm	Breast cancer:7.30e-5 (favourable)	Expressed in all	Tissue enhanced		thyroid gland: 234.3	epididymis: 73.8	Cell line enriched	7	U-87 MG: 22.2
EGR3	PILOT	ENSG00000179388	Early growth response 3	8	22687659-22693302	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA006206, CAB009373	Uncertain		Uncertain	Nucleus<br>Vesicles	Breast cancer:1.83e-4 (favourable), Melanoma:4.78e-4 (favourable)	Mixed	Mixed			gallbladder: 49.6	Cell line enhanced		HMC-1: 8.5;MCF7: 25.2;SK-MEL-30: 17.0
EGR4	NGFI-C, PAT133	ENSG00000135625	Early growth response 4	2	73290929-73293705	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA028983	Enhanced					Mixed	Group enriched	29	cerebral cortex: 9.7;testis: 3.2	adipose tissue,appendix: 0.2	Cell line enriched	6	HMC-1: 1.4
EHBP1L1	DKFZp762C186, TANGERIN	ENSG00000173442	EH domain binding protein 1 like 1	11	65576038-65592650	Predicted intracellular proteins	Evidence at protein level	HPA039479	Approved		Approved	Nucleoli<br>Plasma membrane<br>Cytosol	Renal cancer:1.45e-4 (unfavourable)	Expressed in all	Mixed			skeletal muscle: 88.6	Mixed		
EHD1	FLJ42622, FLJ44618, H-PAST, HPAST1, PAST1	ENSG00000110047	EH domain containing 1	11	64851642-64888296	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA049890, HPA049986, HPA066751, HPA067747	Approved		Supported	Plasma membrane	Liver cancer:2.81e-5 (unfavourable)	Expressed in all	Expressed in all			testis: 152.8	Expressed in all		
EHD2	PAST2	ENSG00000024422	EH domain containing 2	19	47713343-47743134	Predicted intracellular proteins	Evidence at protein level	HPA047394, HPA049890, HPA049986, HPA066751	Approved		Supported	Plasma membrane	Renal cancer:3.98e-4 (unfavourable), Ovarian cancer:8.75e-4 (unfavourable)	Expressed in all	Tissue enhanced		adipose tissue: 208.8	smooth muscle: 111.7	Mixed		
EHD3	PAST3	ENSG00000013016	EH domain containing 3	2	31234337-31269447	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA049890, HPA049986, HPA066751	Approved		Approved	Plasma membrane	Renal cancer:1.02e-4 (unfavourable)	Expressed in all	Tissue enhanced		cerebral cortex: 64.2	esophagus: 28.8	Cell line enhanced		BJ: 68.8;BJ hTERT+: 162.4;HEL: 71.6
EHD4	PAST4	ENSG00000103966	EH domain containing 4	15	41895939-41972578	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA049890, HPA049986, HPA052729, HPA066751	Approved		Approved	Plasma membrane		Expressed in all	Expressed in all			thyroid gland: 24.8	Cell line enhanced		TIME: 140.3
EHHADH	ECHD	ENSG00000113790	Enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase	3	185190624-185281990	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA036401, HPA042021	Enhanced				Renal cancer:1.28e-5 (favourable)	Group enriched	Group enriched	7	kidney: 148.6;liver: 173.1	duodenum: 21.4	Mixed		
EID1	C15orf3, CRI1, EID-1	ENSG00000255302	EP300 interacting inhibitor of differentiation 1	15	48877886-48880183	Predicted intracellular proteins	Evidence at protein level	HPA051122, HPA051123	Approved		Supported	Nucleoplasm	Stomach cancer:2.91e-4 (unfavourable), Head and neck cancer:9.99e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 315.2	Mixed		
EID2	CRI2, EID-2, MGC20452	ENSG00000176396	EP300 interacting inhibitor of differentiation 2	19	39538705-39540333	Predicted intracellular proteins	Evidence at protein level	HPA045477	Uncertain		Supported	Nucleoplasm	Prostate cancer:8.74e-4 (unfavourable), Colorectal cancer:9.73e-4 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 26.3	Expressed in all		
EID2B	EID-3, FLJ38944	ENSG00000176401	EP300 interacting inhibitor of differentiation 2B	19	39530990-39532854	Predicted intracellular proteins	Evidence at protein level	HPA064185	Approved				Pancreatic cancer:2.57e-4 (favourable)	Mixed	Mixed			cerebral cortex: 12.4	Mixed		
EID3	FLJ25832, NSE4B, NSMCE4B	ENSG00000255150	EP300 interacting inhibitor of differentiation 3	12	104303739-104305205	Predicted intracellular proteins	Evidence at protein level	HPA059367	Uncertain		Supported	Nucleus<br>Nucleoli	Renal cancer:5.96e-5 (unfavourable), Glioma:9.70e-5 (unfavourable)	Mixed	Tissue enriched	14	testis: 111.8	seminal vesicle: 7.7	Cell line enhanced		A549: 8.2;BJ: 7.2
EIF1	A121, EIF-1, EIF1A, ISO1, SUI1	ENSG00000173812	Eukaryotic translation initiation factor 1	17	41688885-41692668	Plasma proteins, Predicted intracellular proteins	Evidence at protein level						Renal cancer:9.45e-4 (unfavourable)	Expressed in all	Expressed in all			bone marrow: 481.3	Expressed in all		
EIF1AD	haponin, MGC11102	ENSG00000175376	Eukaryotic translation initiation factor 1A domain containing	11	65996545-66002176	Predicted intracellular proteins	Evidence at protein level	HPA054991, HPA058735	Uncertain		Supported	Nucleoplasm<br>Vesicles	Endometrial cancer:3.59e-5 (unfavourable), Liver cancer:8.63e-5 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 34.9	Expressed in all		
EIF1AX	eIF-1A, eIF-4C, EIF1A, EIF4C	ENSG00000173674	Eukaryotic translation initiation factor 1A, X-linked	X	20124518-20141844	Predicted intracellular proteins	Evidence at protein level	HPA002561	Uncertain	Approved	Approved	Cytosol		Expressed in all	Expressed in all			endometrium: 96.3	Expressed in all		
EIF1AY		ENSG00000198692	Eukaryotic translation initiation factor 1A, Y-linked	Y	20575725-20593154	Predicted intracellular proteins	Evidence at protein level	HPA002561	Uncertain	Approved	Approved	Cytosol		Mixed	Mixed			prostate: 42.2	Cell line enhanced		HEL: 197.1;U-698: 240.9
EIF1B	GC20	ENSG00000114784	Eukaryotic translation initiation factor 1B	3	40309684-40312424	Predicted intracellular proteins	Evidence at protein level						Renal cancer:1.08e-5 (favourable), Liver cancer:1.94e-5 (unfavourable)	Expressed in all	Expressed in all			heart muscle: 231.3	Expressed in all		
EIF2A	EIF-2A	ENSG00000144895	Eukaryotic translation initiation factor 2A	3	150546678-150584242	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA036256	Approved		Approved	Mitochondria<br>Cytosol	Pancreatic cancer:6.57e-6 (unfavourable), Liver cancer:2.36e-5 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 139.1	Expressed in all		
EIF2AK2	EIF2AK1, PKR, PPP1R83, PRKR	ENSG00000055332	Eukaryotic translation initiation factor 2 alpha kinase 2	2	37099210-37157065	Enzymes, Predicted intracellular proteins	Evidence at protein level	CAB003845, HPA019795, HPA063893	Approved		Enhanced	Cytosol	Pancreatic cancer:2.08e-4 (unfavourable), Endometrial cancer:3.77e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 25.4	Mixed		
EIF2AK4	GCN2, KIAA1338	ENSG00000128829	Eukaryotic translation initiation factor 2 alpha kinase 4	15	39934146-40035591	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA011811	Approved		Approved	Cytosol		Expressed in all	Expressed in all			endometrium: 54.3	Expressed in all		
EIF2B1	EIF-2B, EIF-2Balpha, EIF2B, EIF2BA	ENSG00000111361	Eukaryotic translation initiation factor 2B subunit alpha	12	123620406-123633766	Disease related genes, Predicted intracellular proteins	Evidence at protein level	CAB034258, HPA049509	Approved		Supported	Cytosol	Renal cancer:1.78e-9 (unfavourable), Liver cancer:6.75e-7 (unfavourable)	Expressed in all	Expressed in all			skin: 59.3	Expressed in all		
EIF2B2	EIF-2Bbeta, EIF2B	ENSG00000119718	Eukaryotic translation initiation factor 2B subunit beta	14	75002911-75012366	Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA005841, CAB037105, HPA048028	Enhanced		Approved	Nucleoplasm<br>Plasma membrane<br>Focal adhesion sites	Liver cancer:2.26e-6 (unfavourable), Renal cancer:2.95e-4 (favourable)	Expressed in all	Mixed			thyroid gland: 19.2	Expressed in all		
EIF2B3	EIF-2B, EIF2Bgamma	ENSG00000070785	Eukaryotic translation initiation factor 2B subunit gamma	1	44850522-44986722	Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA024213, HPA024218, HPA024219	Supported		Supported	Vesicles<br>Cytosol	Liver cancer:1.73e-5 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 49.4	Expressed in all		
EIF2B4	DKFZP586J0119, EIF-2B, EIF2B, EIF2Bdelta	ENSG00000115211	Eukaryotic translation initiation factor 2B subunit delta	2	27364352-27370486	Disease related genes, Predicted intracellular proteins	Evidence at protein level	CAB032234, HPA039993	Uncertain		Approved	Nuclear membrane<br>Actin filaments	Renal cancer:5.46e-8 (unfavourable), Liver cancer:1.83e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 52.0	Expressed in all		
EIF2B5	EIF-2B, EIF2Bepsilon	ENSG00000145191	Eukaryotic translation initiation factor 2B subunit epsilon	3	184135038-184145311	Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB015412, HPA064370, HPA069303	Uncertain		Enhanced	Cytosol	Liver cancer:3.38e-8 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 39.0	Expressed in all		
EIF2D	LGTN	ENSG00000143486	Eukaryotic translation initiation factor 2D	1	206571292-206612463	Predicted intracellular proteins	Evidence at protein level	HPA028220	Approved		Approved	Nuclear bodies<br>Cytosol	Renal cancer:1.74e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 74.1	Expressed in all		
EIF2S1	EIF-2alpha, EIF2, EIF2A	ENSG00000134001	Eukaryotic translation initiation factor 2 subunit alpha	14	67359997-67386516	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB011663, HPA064885	Supported		Enhanced	Nucleoplasm<br>Cytosol	Liver cancer:4.73e-7 (unfavourable), Pancreatic cancer:4.97e-4 (unfavourable), Urothelial cancer:7.11e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 61.1	Expressed in all		
EIF2S2	EIF2, EIF2beta, PPP1R67	ENSG00000125977	Eukaryotic translation initiation factor 2 subunit beta	20	34088298-34112332	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB034415, HPA041262, HPA041332	Approved		Supported	Nucleoli<br>Endoplasmic reticulum	Renal cancer:9.64e-10 (unfavourable), Liver cancer:3.23e-5 (unfavourable), Endometrial cancer:8.74e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 74.3	Expressed in all		
EIF2S3	EIF2, EIF2G, EIF2gamma	ENSG00000130741	Eukaryotic translation initiation factor 2 subunit gamma	X	24054716-24077971	Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB012471	Approved				Renal cancer:5.44e-6 (unfavourable), Liver cancer:3.05e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 179.5	Expressed in all		
EIF2S3L		ENSG00000180574	Putative eukaryotic translation initiation factor 2 subunit 3-like protein 	12	10505602-10523135	Predicted intracellular proteins	Evidence at transcript level							Mixed	Tissue enhanced		testis: 4.4	duodenum: 1.0	Cell line enhanced		HaCaT: 2.3;HL-60: 3.9;MOLT-4: 3.4;RH-30: 2.9
EIF3A	EIF3, eIF3-p170, eIF3-theta, eIF3a, EIF3S10, KIAA0139, TIF32	ENSG00000107581	Eukaryotic translation initiation factor 3 subunit A	10	119033670-119080823	Predicted intracellular proteins	Evidence at protein level	HPA038315, HPA038316	Enhanced		Supported	Nucleus<br>Cytosol		Expressed in all	Expressed in all			parathyroid gland: 135.7	Expressed in all		
EIF3B	eIF3b, EIF3S9, PRT1	ENSG00000106263	Eukaryotic translation initiation factor 3 subunit B	7	2354086-2380745	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB017562, HPA048983	Approved		Approved	Nucleoplasm<br>Cytosol	Liver cancer:4.41e-9 (unfavourable), Renal cancer:9.66e-6 (unfavourable), Head and neck cancer:2.20e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 103.1	Expressed in all		
EIF3C	eIF3-p110, eIF3c, EIF3S8	ENSG00000184110	Eukaryotic translation initiation factor 3 subunit C	16	28688558-28735730	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB034045, HPA047097, HPA049495, HPA050112	Supported		Supported	Cytosol		Expressed in all	Expressed in all			parathyroid gland: 571.3	Expressed in all		
EIF3CL		ENSG00000205609	Eukaryotic translation initiation factor 3 subunit C-like	16	28379579-28403879	Predicted intracellular proteins	Evidence at protein level	HPA047097, HPA049495, HPA050112	Supported		Approved	Cytosol		Group enriched	Mixed			skin: 24.2	Expressed in all		
EIF3D	eIF3-p66, eIF3-zeta, eIF3d, EIF3S7	ENSG00000100353	Eukaryotic translation initiation factor 3 subunit D	22	36510850-36529436	Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA045882, HPA063330, HPA066216	Approved		Supported	Cytosol	Liver cancer:8.10e-5 (unfavourable)	Expressed in all	Expressed in all			fallopian tube: 256.0	Expressed in all		
EIF3E	eIF3-p48, eIF3e, EIF3S6, INT6	ENSG00000104408	Eukaryotic translation initiation factor 3 subunit E	8	108201216-108435333	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	HPA023973	Approved		Enhanced	Nuclear bodies<br>Cytosol	Renal cancer:3.06e-7 (unfavourable)	Expressed in all	Expressed in all			ovary: 731.0	Expressed in all		
EIF3F	eIF3-epsilon, eIF3-p47, eIF3f, EIF3S5	ENSG00000175390	Eukaryotic translation initiation factor 3 subunit F	11	7970251-8001862	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA049250	Approved		Uncertain	Nucleoli<br>Cytosol	Liver cancer:6.86e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 178.4	Expressed in all		
EIF3G	eIF3-delta, eIF3-p44, eIF3g, EIF3S4	ENSG00000130811	Eukaryotic translation initiation factor 3 subunit G	19	10115017-10119918	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA041997	Approved		Enhanced	Cytosol	Ovarian cancer:3.94e-4 (favourable)	Expressed in all	Expressed in all			ovary: 217.8	Expressed in all		
EIF3H	eIF3-gamma, eIF3-p40, eIF3h, EIF3S3	ENSG00000147677	Eukaryotic translation initiation factor 3 subunit H	8	116642130-116766925	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	HPA023117, HPA023553	Approved		Approved	Cytosol	Breast cancer:5.26e-4 (unfavourable), Cervical cancer:8.07e-4 (unfavourable), Liver cancer:8.34e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 480.9	Expressed in all		
EIF3I	eIF3-beta, eIF3-p36, eIF3i, EIF3S2, TRIP-1	ENSG00000084623	Eukaryotic translation initiation factor 3 subunit I	1	32221928-32231604	Predicted intracellular proteins	Evidence at protein level	HPA029939, HPA029940	Enhanced		Uncertain	Nucleoplasm<br>Cytosol	Renal cancer:4.81e-6 (unfavourable), Endometrial cancer:2.14e-4 (favourable), Liver cancer:4.21e-4 (unfavourable)	Expressed in all	Expressed in all			fallopian tube: 198.1	Expressed in all		
EIF3J	eIF3-alpha, eIF3-p35, eIF3j, EIF3S1	ENSG00000104131	Eukaryotic translation initiation factor 3 subunit J	15	44537057-44563029	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA050977	Approved		Enhanced	Cytosol	Urothelial cancer:4.96e-5 (unfavourable)	Expressed in all	Expressed in all			skeletal muscle: 69.3	Expressed in all		
EIF3K	ARG134, eIF3k, EIF3S12, HSPC029, M9, PLAC-24, PRO1474, PTD001	ENSG00000178982	Eukaryotic translation initiation factor 3 subunit K	19	38619082-38636955	Predicted intracellular proteins	Evidence at protein level	HPA045446, HPA054590	Uncertain		Supported	Cytosol	Cervical cancer:1.31e-4 (favourable), Renal cancer:5.43e-4 (favourable)	Expressed in all	Expressed in all			fallopian tube: 164.9	Expressed in all		
